- - - - - n i p _ s e t t l e m e n t - - - - -
session_id request_time response_code amount
000001230529000345000263110599 "2023-05-29 00:02:12" 00 750.00
000001230529000346000263110600 "2023-05-29 00:02:10" 00 2000.00
000001230529000348000263110601 "2023-05-29 00:02:10" 00 13000.00
000001230529000352000263110602 "2023-05-29 00:02:15" 00 8000.00
000001230529000353000263110603 "2023-05-29 00:02:18" 00 500.00
000001230529000353000263110604 "2023-05-29 00:02:18" 00 2000.00
000001230529000354000263110605 "2023-05-29 00:02:16" 00 5000.00
000001230529000357000263110607 "2023-05-29 00:02:20" 00 20000.00
000001230529000359000263110606 "2023-05-29 00:02:25" 00 2000.00
000001230529000359000263110608 "2023-05-29 00:02:22" 00 30000.00
000001230529000400000263110609 "2023-05-29 00:02:23" 00 1000000.00
000001230529000400000263110610 "2023-05-29 00:02:22" 00 2000.00
000001230529000400000263110611 "2023-05-29 00:02:22" 00 4000.00
000001230529000400000263110613 "2023-05-29 00:02:25" 00 2000.00
000001230529000401000263110614 "2023-05-29 00:02:29" 00 5900.00
000001230529000402023102589236 "2023-05-29 00:03:47" 00 10500.00
000001230529000404000263110612 "2023-05-29 00:02:26" 00 1300.00
000001230529000406000263110615 "2023-05-29 00:02:31" 00 20000.00
000001230529000406000263110616 "2023-05-29 00:02:32" 00 4000.00
000001230529000406000263110617 "2023-05-29 00:02:30" 00 1500.00
000001230529000407000263110618 "2023-05-29 00:02:29" 91 200.00
000001230529000410000263110620 "2023-05-29 00:02:31" 00 3000.00
000001230529000410000263110621 "2023-05-29 00:02:34" 00 998.00
000001230529000412000263110619 "2023-05-29 00:02:36" 00 50000.00
000001230529000413048502599894 "2023-05-29 00:04:17" 00 2400.00
000001230529000415000263110622 "2023-05-29 00:02:39" 00 15000.00
000001230529000416000263110624 "2023-05-29 00:02:44" 00 20000.00
000001230529000417000263110623 "2023-05-29 00:02:41" 00 1200.00
000001230529000417000263110625 "2023-05-29 00:02:37" 00 3000.00
000001230529000417000263110626 "2023-05-29 00:02:42" 00 95000.00
000001230529000419000263110627 "2023-05-29 00:02:44" 00 600.00
000001230529000419062502849747 "2023-05-29 00:04:22" 00 13000.00
000001230529000421000263110628 "2023-05-29 00:02:46" 00 1200.00
000001230529000421000263110630 "2023-05-29 00:02:45" 00 2000.00
000001230529000423000263110629 "2023-05-29 00:02:46" 00 12000.00
000001230529000423000263110631 "2023-05-29 00:02:48" 00 1000.00
000001230529000426000263110632 "2023-05-29 00:02:51" 00 5000.00
000001230529000426000263110633 "2023-05-29 00:02:50" 00 190000.00
000001230529000427000263110636 "2023-05-29 00:02:50" 00 2000.00
000001230529000428000263110635 "2023-05-29 00:02:54" 00 2500.00
000001230529000429000263110634 "2023-05-29 00:02:55" 00 104000.00
000001230529000430000263110637 "2023-05-29 00:02:52" 00 10000.00
000001230529000432000263110639 "2023-05-29 00:02:54" 00 20000.00
000001230529000435000263110638 "2023-05-29 00:03:00" 00 1530.00
000001230529000436000263110640 "2023-05-29 00:02:57" 00 11000.00
000001230529000438000263110641 "2023-05-29 00:03:02" 00 500.00
000001230529000440000263110643 "2023-05-29 00:03:03" 00 500000.00
000001230529000441000263110644 "2023-05-29 00:03:04" 00 2100.00
000001230529000442000263110645 "2023-05-29 00:03:03" 00 5000.00
000001230529000443000263110642 "2023-05-29 00:03:08" 00 2400.00
000001230529000443000263110646 "2023-05-29 00:03:07" 00 100000.00
000001230529000444000263110647 "2023-05-29 00:03:10" 00 200000.00
000001230529000445000263110648 "2023-05-29 00:03:08" 00 10000.00
000001230529000446000263110649 "2023-05-29 00:03:09" 00 21000.00
000001230529000449000263110651 "2023-05-29 00:03:12" 00 1000000.00
000001230529000450000263110650 "2023-05-29 00:03:16" 00 1000.00
000001230529000450000263110653 "2023-05-29 00:03:16" 00 200.00
000001230529000451000263110652 "2023-05-29 00:03:12" 00 12000.00
000001230529000452000263110654 "2023-05-29 00:03:15" 00 20000.00
000001230529000453000263110655 "2023-05-29 00:03:15" 00 4000.00
000001230529000454000263110656 "2023-05-29 00:03:22" 00 50000.00
000001230529000456000263110658 "2023-05-29 00:03:18" 00 13000.00
000001230529000459000263110660 "2023-05-29 00:03:24" 00 2000.00
000001230529000459084702022116 "2023-05-29 00:03:44" 00 5000000.00
000001230529000500000263110661 "2023-05-29 00:03:27" 00 5000.00
000001230529000502000263110663 "2023-05-29 00:03:25" 00 1000.00
000001230529000502000263110664 "2023-05-29 00:03:22" 00 1400.00
000001230529000503000263110657 "2023-05-29 00:03:35" 00 15000.00
000001230529000503000263110662 "2023-05-29 00:03:37" 00 20000.00
000001230529000503000263110666 "2023-05-29 00:03:24" 00 500.00
000001230529000505000263110668 "2023-05-29 00:03:32" 00 18000.00
000001230529000506000263110667 "2023-05-29 00:03:30" 00 2000.00
000001230529000508000263110670 "2023-05-29 00:03:30" 00 18000.00
000001230529000509000263110669 "2023-05-29 00:03:35" 00 449000.00
000001230529000509000263110672 "2023-05-29 00:03:32" 00 4000.00
000001230529000511000263110673 "2023-05-29 00:03:31" 00 6000.00
000001230529000512000263110671 "2023-05-29 00:03:37" 00 20000.00
000001230529000512000263110674 "2023-05-29 00:03:33" 00 70000.00
000001230529000516000263110675 "2023-05-29 00:03:38" 00 600000.00
000001230529000516000263110676 "2023-05-29 00:03:38" 00 20000.00
000001230529000516079802345002 "2023-05-29 00:03:44" 00 2000.00
000001230529000518000263110677 "2023-05-29 00:03:52" 00 800.00
000001230529000525000263110678 "2023-05-29 00:03:49" 00 133000.00
000001230529000525000263110679 "2023-05-29 00:03:49" 00 100.00
000001230529000528000263110680 "2023-05-29 00:03:50" 00 9999.00
000001230529000531000263110684 "2023-05-29 00:03:56" 00 3000.00
000001230529000532000263110688 "2023-05-29 00:03:59" 00 4300.00
000001230529000533000263110686 "2023-05-29 00:03:55" 00 30000.00
000001230529000535073002921692 "2023-05-29 00:05:44" 00 2000.00
000001230529000536000263110690 "2023-05-29 00:04:01" 00 17000.00
000001230529000536000263110691 "2023-05-29 00:03:58" 00 10000.00
000001230529000537000263110689 "2023-05-29 00:04:03" 00 1000.00
000001230529000537000263110692 "2023-05-29 00:04:02" 00 50000.00
000001230529000540000263110695 "2023-05-29 00:04:04" 00 80000.00
000001230529000541000263110696 "2023-05-29 00:04:06" 00 4000.00
000001230529000542000263110697 "2023-05-29 00:04:08" 00 50000.00
000001230529000544000263110693 "2023-05-29 00:04:10" 00 500.00
000001230529000544000263110694 "2023-05-29 00:04:10" 00 24000.00
000001230529000547000263110699 "2023-05-29 00:04:11" 00 31000.00
000001230529000547000263110701 "2023-05-29 00:04:07" 00 4000.00
000001230529000548000263110700 "2023-05-29 00:04:13" 00 3800.00
000001230529000551941176016522 "2023-05-29 00:04:09" 00 50000.00
000001230529000552000263110704 "2023-05-29 00:04:15" 00 100000.00
000001230529000553000263110703 "2023-05-29 00:04:17" 00 17000.00
000001230529000558000263110705 "2023-05-29 00:04:19" 00 4000.00
000001230529000558096002829111 "2023-05-29 00:06:02" 00 2000.00
000001230529000600038802698962 "2023-05-29 00:06:04" 00 4000.00
000001230529000601000263110706 "2023-05-29 00:04:23" 00 20000.00
000001230529000604000263110709 "2023-05-29 00:04:34" 00 100000.00
000001230529000605000263110710 "2023-05-29 00:04:29" 00 2000.00
000001230529000605003402878643 "2023-05-29 00:09:22" 00 2000.00
000001230529000610000263110714 "2023-05-29 00:04:36" 00 5000.00
000001230529000610000263110715 "2023-05-29 00:04:35" 00 30000.00
000001230529000610000263110716 "2023-05-29 00:04:35" 00 10000.00
000001230529000613000263110717 "2023-05-29 00:04:34" 00 4000.00
000001230529000613000263110718 "2023-05-29 00:04:34" 00 40000.00
000001230529000615000263110720 "2023-05-29 00:04:40" 00 30000.00
000001230529000617000263110713 "2023-05-29 00:04:41" 00 1600000.00
000001230529000618000263110721 "2023-05-29 00:04:39" 00 60000.00
000001230529000620000263110722 "2023-05-29 00:04:42" 00 5000.00
000001230529000623000263110724 "2023-05-29 00:04:48" 00 20000.00
000001230529000624000263110723 "2023-05-29 00:04:47" 00 1000.00
000001230529000628000263110725 "2023-05-29 00:04:51" 00 200.00
000001230529000630000263110726 "2023-05-29 00:04:54" 00 21600.00
000001230529000630000263110728 "2023-05-29 00:04:52" 00 75000.00
000001230529000630081702519474 "2023-05-29 00:19:23" 00 100000.00
000001230529000632000263110727 "2023-05-29 00:04:55" 00 10000.00
000001230529000634000263110729 "2023-05-29 00:04:56" 00 8000.00
000001230529000639000263110730 "2023-05-29 00:05:04" 00 133000.00
000001230529000641000263110731 "2023-05-29 00:05:03" 00 20000.00
000001230529000642000263110732 "2023-05-29 00:05:04" 00 3000.00
000001230529000642000263110733 "2023-05-29 00:05:11" 00 10000.00
000001230529000643000263110734 "2023-05-29 00:05:09" 00 20000.00
000001230529000646000263110735 "2023-05-29 00:05:08" 00 900.00
000001230529000647000263110736 "2023-05-29 00:05:07" 00 9999.00
000001230529000648000263110737 "2023-05-29 00:05:10" 00 11100.00
000001230529000649000263110739 "2023-05-29 00:05:10" 00 26000.00
000001230529000649000263110740 "2023-05-29 00:05:12" 00 200000.00
000001230529000649000263110741 "2023-05-29 00:05:19" 00 4000.00
000001230529000651000263110742 "2023-05-29 00:05:14" 00 1200.00
000001230529000652000263110738 "2023-05-29 00:05:15" 00 250.00
000001230529000653000263110743 "2023-05-29 00:05:18" 00 8600.00
000001230529000653000263110745 "2023-05-29 00:05:18" 00 600.00
000001230529000654000263110744 "2023-05-29 00:05:19" 00 20000.00
